Species_W&R05,Species_W&R93,Clade,Order,Family,AdultBodyMass_g,MaxLongevity_m,CitationCountMarch2011,PSR,WBC
Macaca arctoides,Macaca arctoides,P,PRIMATES,CERCOPITHECIDAE,9358.04,360,1351,2,NA
Macaca assamensis,Macaca assamensis,P,PRIMATES,CERCOPITHECIDAE,8546.89,376.8,237,2,NA
Macaca fascicularis,Macaca fascicularis,P,PRIMATES,CERCOPITHECIDAE,4569.32,456,20607,32,10.3
Macaca fuscata,Macaca fuscata,P,PRIMATES,CERCOPITHECIDAE,10114.76,396,3741,19,11.77
Macaca mulatta,Macaca mulatta,P,PRIMATES,CERCOPITHECIDAE,6455.19,432,43085,33,9.969
Macaca nemestrina,Macaca nemestrina,P,PRIMATES,CERCOPITHECIDAE,7820.78,411.6,4768,10,9.579
Macaca nigra,Macaca nigra,P,PRIMATES,CERCOPITHECIDAE,7359.39,216,227,2,10.19
Macaca radiata,Macaca radiata,P,PRIMATES,CERCOPITHECIDAE,4999.99,360,1561,12,NA
Macaca sinica,Macaca sinica,P,PRIMATES,CERCOPITHECIDAE,4655.99,420,142,22,NA
Macaca sylvanus,Macaca sylvanus,P,PRIMATES,CERCOPITHECIDAE,11471.53,264,540,4,NA
Madoqua guentheri,Madoqua guentheri,U,CETARTIODACTYLA,BOVIDAE,4623.7,168,30,1,2.66
Madoqua saltiana,Madoqua saltiana,U,CETARTIODACTYLA,BOVIDAE,3424.47,168,13,3,NA
Mandrillus leucophaeus,Mandrillus leucophaeus,P,PRIMATES,CERCOPITHECIDAE,14253.3,400.8,183,8,7.281
Mandrillus sphinx,Mandrillus sphinx,P,PRIMATES,CERCOPITHECIDAE,16685.06,555.96,435,20,10.04
Martes americana,Martes americana,C,CARNIVORA,MUSTELIDAE,873.69,228,609,21,NA
Martes foina,Martes foina,C,CARNIVORA,MUSTELIDAE,1675,217.2,711,22,NA
Martes martes,Martes martes,C,CARNIVORA,MUSTELIDAE,1299.99,204,956,5,NA
Martes melampus,Martes melampus,C,CARNIVORA,MUSTELIDAE,1000,147.6,121,14,NA
Martes pennanti,Martes pennanti,C,CARNIVORA,MUSTELIDAE,3750,121.76,408,3,5.036
Martes zibellina,Martes zibellina,C,CARNIVORA,MUSTELIDAE,1173.91,220.8,401,4,NA
Mazama gouazoubira,Mazama gouazoupira,U,CETARTIODACTYLA,CERVIDAE,16633.17,144,165,4,NA
Meles meles,Meles meles,C,CARNIVORA,MUSTELIDAE,11884.03,194.4,2593,45,NA
Mellivora capensis,Mellivora capensis,C,CARNIVORA,MUSTELIDAE,8999.99,375.6,136,4,NA
Mephitis mephitis,Mephitis mephitis,C,CARNIVORA,MEPHITIDAE,2399.99,155,789,29,6.939
Microcebus murinus,Microcebus murinus,P,PRIMATES,CHEIROGALEIDAE,69,186,812,13,NA
Miopithecus talapoin,Miopithecus talapoin,P,PRIMATES,CERCOPITHECIDAE,1248.86,370.8,143,6,9.902
Mungos mungo,Mungos mungo,C,CARNIVORA,HERPESTIDAE,1260,208.8,152,3,NA
Muntiacus muntjak,Muntiacus muntjak,U,CETARTIODACTYLA,CERVIDAE,17611.59,211.2,522,2,4.043
Muntiacus reevesi,Muntiacus reevesi,U,CETARTIODACTYLA,CERVIDAE,13499.94,278.4,375,1,5.38
Mustela erminea,Mustela erminea,C,CARNIVORA,MUSTELIDAE,284.5,85.23,1408,60,NA
Mustela frenata,Mustela frenata,C,CARNIVORA,MUSTELIDAE,190.03,85.23,245,2,NA
Mustela lutreola,Mustela lutreola,C,CARNIVORA,MUSTELIDAE,566.44,120,572,4,NA
Mustela nigripes,Mustela nigripes,C,CARNIVORA,MUSTELIDAE,907.1,144,405,18,3.976
Mustela nivalis,Mustela nivalis,C,CARNIVORA,MUSTELIDAE,78.45,120,1026,36,NA
Mustela putorius,Mustela putorius,C,CARNIVORA,MUSTELIDAE,975.55,168,1894,52,6.141
Mustela sibirica,Mustela sibirica,C,CARNIVORA,MUSTELIDAE,530.85,106,241,5,NA
Naemorhedus caudatus,Naemorhedus caudatus,U,CETARTIODACTYLA,BOVIDAE,26999.99,108.96,27,22,4.788
